@relation InstanceResultListener

@attribute Key_Dataset {heart}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.trees.ADTree,weka.classifiers.trees.RandomForest,weka.classifiers.meta.Bagging,weka.classifiers.trees.DecisionStump}
@attribute Key_Scheme_options {'-B 10 -E -3','-B 50 -E -3','-B 100 -E -3','-I 100 -K 0 -S 1','-I 500 -K 0 -S 1','-I 1000 -K 0 -S 1','-I 100 -K 1 -S 1','-I 100 -K 2 -S 1','-I 100 -K 4 -S 1','-P 100 -S 1 -I 10 -W weka.classifiers.trees.ADTree -- -B 10 -E -3','-P 100 -S 1 -I 50 -W weka.classifiers.trees.ADTree -- -B 10 -E -3','-P 100 -S 1 -I 100 -W weka.classifiers.trees.ADTree -- -B 10 -E -3',''}
@attribute Key_Scheme_version_ID {-1532264837167690683,-2260823972777004705,-5178288489778728847,1618384535950391}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Area_under_ROC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Summary string
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumPredictionLeaves numeric
@attribute measureNodesExpanded numeric
@attribute measureExamplesProcessed numeric
@attribute measureOutOfBagError numeric

@data
heart,2,9,weka.classifiers.trees.ADTree,'-B 10 -E -3',-1532264837167690683,20150617.1109,268,29,23,6,0,79.310345,20.689655,0,0.57561,0.26582,0.345427,53.574558,69.427695,28.793911,15.396171,13.39774,0.992893,0.530902,0.461991,14.121796,0.486958,1417.79635,0.875,14,0.307692,4,0.692308,9,0.125,2,0.777778,0.875,0.823529,0.935096,0.793103,0.225796,0.774204,0.206897,0.79589,0.793103,0.790568,0.935096,0.009,0,0.008955,0.000023,4633,40181,6482,?,31,21,15,96,12683,?
heart,2,10,weka.classifiers.trees.ADTree,'-B 10 -E -3',-1532264837167690683,20150617.1109,268,29,25,4,0,86.206897,13.793103,0,0.717073,0.262739,0.342768,52.95351,68.893434,28.793911,15.564897,13.229015,0.992893,0.536721,0.456173,14.585974,0.502965,1464.398845,0.9375,15,0.230769,3,0.769231,10,0.0625,1,0.833333,0.9375,0.882353,0.923077,0.862069,0.155338,0.844662,0.137931,0.867294,0.862069,0.860379,0.923077,0.009,0,0.009302,0.000024,4633,40181,6482,?,31,21,15,98,12802,?
heart,3,1,weka.classifiers.trees.ADTree,'-B 10 -E -3',-1532264837167690683,20150617.1109,267,30,25,5,0,83.333333,16.666667,0,0.660633,0.229467,0.328809,46.133597,65.90412,29.906577,15.201579,14.704998,0.996886,0.506719,0.490167,16.984435,0.566148,1705.950822,0.9375,15,0.285714,4,0.714286,10,0.0625,1,0.789474,0.9375,0.857143,0.921875,0.833333,0.181548,0.818452,0.166667,0.845295,0.833333,0.830476,0.921875,0.01,0,0.009537,0.000027,4633,40040,6623,?,31,21,15,97,12684,?
heart,3,2,weka.classifiers.trees.ADTree,'-B 10 -E -3',-1532264837167690683,20150617.1109,267,30,23,7,0,76.666667,23.333333,0,0.524887,0.276487,0.365896,55.58666,73.337505,29.906577,17.444832,12.461745,0.996886,0.581494,0.415391,13.939888,0.464663,1400.150409,0.875,14,0.357143,5,0.642857,9,0.125,2,0.736842,0.875,0.8,0.908482,0.766667,0.24881,0.75119,0.233333,0.774801,0.766667,0.762667,0.908482,0.012,0,0.012138,0.000037,4633,40040,6623,?,31,21,15,94,12544,?
heart,3,3,weka.classifiers.trees.ADTree,'-B 10 -E -3',-1532264837167690683,20150617.1109,267,30,24,6,0,80,20,0,0.60177,0.316394,0.385511,63.609953,77.269062,29.906577,19.348871,10.557706,0.996886,0.644962,0.351924,11.733939,0.391131,1178.580441,0.75,12,0.142857,2,0.857143,12,0.25,4,0.857143,0.75,0.8,0.866071,0.8,0.192857,0.807143,0.2,0.807143,0.8,0.8,0.866071,0.01,0,0.009973,0.000027,4633,40040,6623,?,31,21,15,91,12401,?
heart,3,4,weka.classifiers.trees.ADTree,'-B 10 -E -3',-1532264837167690683,20150617.1109,267,30,21,9,0,70,30,0,0.405286,0.307127,0.40303,61.746842,80.780362,29.906577,20.165032,9.741545,0.996886,0.672168,0.324718,11.853357,0.395112,1190.575021,0.625,10,0.214286,3,0.785714,11,0.375,6,0.769231,0.625,0.689655,0.872768,0.7,0.289286,0.710714,0.3,0.712217,0.7,0.698999,0.872768,0.009,0,0.008924,0.000025,4635,40040,6623,?,31,21,14,95,12475,?
heart,3,5,weka.classifiers.trees.ADTree,'-B 10 -E -3',-1532264837167690683,20150617.1109,267,30,25,5,0,83.333333,16.666667,0,0.663677,0.255445,0.327498,51.356343,65.641289,29.906577,15.196375,14.710202,0.996886,0.506546,0.49034,15.727377,0.524246,1579.68944,0.875,14,0.214286,3,0.785714,11,0.125,2,0.823529,0.875,0.848485,0.950893,0.833333,0.172619,0.827381,0.166667,0.834087,0.833333,0.832772,0.950893,0.009,0,0.008527,0.000024,4633,40040,6623,?,31,21,15,96,11957,?
heart,3,6,weka.classifiers.trees.ADTree,'-B 10 -E -3',-1532264837167690683,20150617.1109,267,30,24,6,0,80,20,0,0.598214,0.272903,0.344333,54.86612,69.015732,29.906577,15.955791,13.950786,0.996886,0.53186,0.465026,14.325194,0.477506,1438.851343,0.8125,13,0.214286,3,0.785714,11,0.1875,3,0.8125,0.8125,0.8125,0.912946,0.8,0.201786,0.798214,0.2,0.8,0.8,0.8,0.912946,0.013,0,0.012964,0.000039,4631,40040,6623,?,31,21,16,95,12646,?
heart,3,7,weka.classifiers.trees.ADTree,'-B 10 -E -3',-1532264837167690683,20150617.1109,267,30,20,10,0,66.666667,33.333333,0,0.324324,0.368663,0.456535,74.118419,91.504649,29.906577,25.167128,4.73945,0.996886,0.838904,0.157982,7.998461,0.266615,803.381561,0.75,12,0.428571,6,0.571429,8,0.25,4,0.666667,0.75,0.705882,0.75,0.666667,0.345238,0.654762,0.333333,0.666667,0.666667,0.66365,0.75,0.012,0,0.009992,0.00003,4631,40040,6623,?,31,21,16,94,12532,?
heart,3,8,weka.classifiers.trees.ADTree,'-B 10 -E -3',-1532264837167690683,20150617.1109,268,29,26,3,0,89.655172,10.344828,0,0.786241,0.216207,0.304177,43.575278,61.13684,28.793911,13.029459,15.764452,0.992893,0.449292,0.543602,17.394122,0.599797,1746.330576,1,16,0.230769,3,0.769231,10,0,0,0.842105,1,0.914286,0.959135,0.896552,0.127321,0.872679,0.103448,0.912886,0.896552,0.894239,0.959135,0.009,0,0.009472,0.000025,4631,40181,6482,?,31,21,16,97,12704,?
heart,3,9,weka.classifiers.trees.ADTree,'-B 10 -E -3',-1532264837167690683,20150617.1109,268,29,26,3,0,89.655172,10.344828,0,0.795294,0.267421,0.336405,53.897188,67.614534,28.793911,15.483307,13.310605,0.992893,0.533907,0.458986,14.530336,0.501046,1458.812903,0.8125,13,0,0,1,13,0.1875,3,1,0.8125,0.896552,0.947115,0.896552,0.084052,0.915948,0.103448,0.915948,0.896552,0.896552,0.947115,0.01,0,0.009947,0.000038,4633,40181,6482,?,31,21,15,98,12734,?
heart,3,10,weka.classifiers.trees.ADTree,'-B 10 -E -3',-1532264837167690683,20150617.1109,268,29,23,6,0,79.310345,20.689655,0,0.581731,0.332866,0.406929,67.08729,81.789168,28.793911,21.159053,7.634858,0.992893,0.729623,0.263271,10.457216,0.360594,1049.880868,0.8125,13,0.230769,3,0.769231,10,0.1875,3,0.8125,0.8125,0.8125,0.8125,0.793103,0.211373,0.788627,0.206897,0.793103,0.793103,0.793103,0.8125,0.012,0,0.012184,0.000037,4633,40181,6482,?,31,21,15,96,11806,?
heart,4,1,weka.classifiers.trees.ADTree,'-B 10 -E -3',-1532264837167690683,20150617.1109,267,30,26,4,0,86.666667,13.333333,0,0.72973,0.243228,0.306722,48.900177,61.477255,29.906577,13.772446,16.134131,0.996886,0.459082,0.537804,16.473398,0.549113,1654.621236,0.9375,15,0.214286,3,0.785714,11,0.0625,1,0.833333,0.9375,0.882353,0.950893,0.866667,0.143452,0.856548,0.133333,0.872222,0.866667,0.86546,0.950893,0.012,0,0.011387,0.000029,4631,40040,6623,?,31,21,16,95,12622,?
heart,4,2,weka.classifiers.trees.ADTree,'-B 10 -E -3',-1532264837167690683,20150617.1109,267,30,25,5,0,83.333333,16.666667,0,0.660633,0.260768,0.317643,52.426438,63.666029,29.906577,14.548848,15.357729,0.996886,0.484962,0.511924,15.388743,0.512958,1545.676338,0.9375,15,0.285714,4,0.714286,10,0.0625,1,0.789474,0.9375,0.857143,0.957589,0.833333,0.181548,0.818452,0.166667,0.845295,0.833333,0.830476,0.957589,0.01,0,0.009469,0.000029,4631,40040,6623,?,31,21,16,91,12507,?
heart,4,3,weka.classifiers.trees.ADTree,'-B 10 -E -3',-1532264837167690683,20150617.1109,267,30,22,8,0,73.333333,26.666667,0,0.464286,0.300964,0.369773,60.507723,74.114667,29.906577,18.068935,11.837642,0.996886,0.602298,0.394588,12.6585,0.42195,1271.445205,0.75,12,0.285714,4,0.714286,10,0.25,4,0.75,0.75,0.75,0.910714,0.733333,0.269048,0.730952,0.266667,0.733333,0.733333,0.733333,0.910714,0.01,0,0.00972,0.000038,4635,40040,6623,?,31,21,14,93,12382,?
heart,4,4,weka.classifiers.trees.ADTree,'-B 10 -E -3',-1532264837167690683,20150617.1109,267,30,22,8,0,73.333333,26.666667,0,0.464286,0.357622,0.445424,71.898646,89.277501,29.906577,24.225371,5.681206,0.996886,0.807512,0.189374,8.856306,0.29521,889.545222,0.75,12,0.285714,4,0.714286,10,0.25,4,0.75,0.75,0.75,0.78125,0.733333,0.269048,0.730952,0.266667,0.733333,0.733333,0.733333,0.78125,0.012,0,0.011546,0.000032,4633,40040,6623,?,31,21,15,88,12503,?
heart,4,5,weka.classifiers.trees.ADTree,'-B 10 -E -3',-1532264837167690683,20150617.1109,267,30,25,5,0,83.333333,16.666667,0,0.672489,0.274267,0.36802,55.140345,73.763301,29.906577,18.604273,11.302304,0.996886,0.620142,0.376743,14.481305,0.48271,1454.531409,0.6875,11,0,0,1,14,0.3125,5,1,0.6875,0.814815,0.886161,0.833333,0.145833,0.854167,0.166667,0.877193,0.833333,0.830527,0.886161,0.01,0,0.01025,0.000029,4631,40040,6623,?,31,21,16,95,12758,?
heart,4,6,weka.classifiers.trees.ADTree,'-B 10 -E -3',-1532264837167690683,20150617.1109,267,30,24,6,0,80,20,0,0.590909,0.28974,0.374124,58.251183,74.98667,29.906577,18.49036,11.416218,0.996886,0.616345,0.380541,13.364101,0.44547,1342.317173,0.9375,15,0.357143,5,0.642857,9,0.0625,1,0.75,0.9375,0.833333,0.888393,0.8,0.219643,0.780357,0.2,0.82,0.8,0.794444,0.888393,0.009,0,0.00914,0.000025,4631,40040,6623,?,31,21,16,94,12544,?
heart,4,7,weka.classifiers.trees.ADTree,'-B 10 -E -3',-1532264837167690683,20150617.1109,267,30,27,3,0,90,10,0,0.798206,0.246757,0.297947,49.609622,59.718455,29.906577,13.640603,16.265974,0.996886,0.454687,0.542199,16.582626,0.552754,1665.592367,0.9375,15,0.142857,2,0.857143,12,0.0625,1,0.882353,0.9375,0.909091,0.957589,0.9,0.105357,0.894643,0.1,0.901357,0.9,0.899663,0.957589,0.01,0,0.009411,0.000025,4633,40040,6623,?,31,21,15,94,12551,?
heart,4,8,weka.classifiers.trees.ADTree,'-B 10 -E -3',-1532264837167690683,20150617.1109,268,29,22,7,0,75.862069,24.137931,0,0.522353,0.31843,0.402625,64.177798,80.924162,28.793911,19.923455,8.870457,0.992893,0.687016,0.305878,10.947511,0.3775,1099.105343,0.6875,11,0.153846,2,0.846154,11,0.3125,5,0.846154,0.6875,0.758621,0.901442,0.758621,0.224967,0.775033,0.241379,0.775033,0.758621,0.758621,0.901442,0.013,0,0.012195,0.000038,4635,40181,6482,?,31,21,14,91,12556,?
heart,4,9,weka.classifiers.trees.ADTree,'-B 10 -E -3',-1532264837167690683,20150617.1109,268,29,22,7,0,75.862069,24.137931,0,0.501229,0.322616,0.420335,65.021495,84.483653,28.793911,23.242218,5.551693,0.992893,0.801456,0.191438,10.823461,0.373223,1086.650999,0.875,14,0.384615,5,0.615385,8,0.125,2,0.736842,0.875,0.8,0.798077,0.758621,0.268236,0.731764,0.241379,0.765154,0.758621,0.753223,0.798077,0.01,0,0.010071,0.000025,4635,40181,6482,?,31,21,14,99,11946,?
heart,4,10,weka.classifiers.trees.ADTree,'-B 10 -E -3',-1532264837167690683,20150617.1109,268,29,22,7,0,75.862069,24.137931,0,0.508475,0.316188,0.425427,63.72601,85.507174,28.793911,22.80213,5.991781,0.992893,0.78628,0.206613,11.177581,0.385434,1122.203834,0.8125,13,0.307692,4,0.692308,9,0.1875,3,0.764706,0.8125,0.787879,0.802885,0.758621,0.253813,0.746187,0.241379,0.758114,0.758621,0.75745,0.802885,0.01,0,0.009449,0.000028,4633,40181,6482,?,31,21,15,99,12659,?
heart,5,1,weka.classifiers.trees.ADTree,'-B 10 -E -3',-1532264837167690683,20150617.1109,267,30,27,3,0,90,10,0,0.8,0.2566,0.317784,51.588582,63.694298,29.906577,14.411067,15.49551,0.996886,0.480369,0.516517,15.650565,0.521686,1571.974293,0.875,14,0.071429,1,0.928571,13,0.125,2,0.933333,0.875,0.903226,0.953125,0.9,0.096429,0.903571,0.1,0.902222,0.9,0.900111,0.953125,0.009,0,0.009614,0.000029,4631,40040,6623,?,31,21,16,98,12804,?
